Prscrbr_State_Abrvtn,total_cost
CA,21262400164.5813
NY,18174131280.8502
FL,16838937917.7598
TX,15746441933.7196
PA,11128347140.3995
OH,9043071424.00981
NC,8138215348.3002
MI,7821347988.70996
IL,7536982736.26998
GA,7304129570.2998
